AGE,CI_LOWER,CI_UPPER,COUNT,EVENT_TYPE,POPULATION,RACE,RATE,SEX,SITE,YEAR,RATE == as.numeric(RATE)
45-49,3.0,3.5,701,Incidence,21722676,All Races,3.2,Male and Female,Esophagus,2003,TRUE
5-9,~,~,~,Incidence,19620851,All Races,NA,Male and Female,Esophagus,2003,NA
50-54,5.9,6.6,1192,Incidence,19097278,All Races,6.2,Male and Female,Esophagus,2003,TRUE
55-59,10.0,11.0,1661,Incidence,15814557,All Races,10.5,Male and Female,Esophagus,2003,TRUE
60-64,15.3,16.7,1948,Incidence,12194388,All Races,16,Male and Female,Esophagus,2003,FALSE
65-69,19.8,21.6,2034,Incidence,9830796,All Races,20.7,Male and Female,Esophagus,2003,TRUE
70-74,23.6,25.7,2135,Incidence,8670119,All Races,24.6,Male and Female,Esophagus,2003,TRUE
75-79,26.1,28.5,2043,Incidence,7497842,All Races,27.2,Male and Female,Esophagus,2003,TRUE
80-84,26.2,29.1,1491,Incidence,5398596,All Races,27.6,Male and Female,Esophagus,2003,TRUE
85+,22.2,25.0,1052,Incidence,4466176,All Races,23.6,Male and Female,Esophagus,2003,TRUE
<1,~,~,~,Incidence,3975871,All Races,NA,Male and Female,Esophagus,2003,NA
1-4,~,~,~,Incidence,7636693,All Races,NA,Male and Female,Female Breast,2003,NA
10-14,~,~,~,Incidence,10444875,All Races,NA,Male and Female,Female Breast,2003,NA
15-19,0.1,0.3,18,Incidence,10086567,All Races,0.2,Male and Female,Female Breast,2003,TRUE
20-24,1.2,1.6,139,Incidence,10093723,All Races,1.4,Male and Female,Female Breast,2003,TRUE
25-29,8.2,9.4,821,Incidence,9307104,All Races,8.8,Male and Female,Female Breast,2003,TRUE
30-34,26.3,28.3,2784,Incidence,10193818,All Races,27.3,Male and Female,Female Breast,2003,TRUE
35-39,60.5,63.5,6607,Incidence,10660101,All Races,62,Male and Female,Female Breast,2003,FALSE
40-44,116.9,120.9,13727,Incidence,11546602,All Races,118.9,Male and Female,Female Breast,2003,TRUE
45-49,181.8,186.9,20311,Incidence,11017265,All Races,184.4,Male and Female,Female Breast,2003,TRUE
5-9,~,~,~,Incidence,9581247,All Races,NA,Male and Female,Female Breast,2003,NA
50-54,225.2,231.2,22269,Incidence,9759654,All Races,228.2,Male and Female,Female Breast,2003,TRUE
55-59,287.2,294.6,23686,Incidence,8141956,All Races,290.9,Male and Female,Female Breast,2003,TRUE
60-64,336.8,345.9,21770,Incidence,6377463,All Races,341.4,Male and Female,Female Breast,2003,TRUE
65-69,372.8,383.3,19861,Incidence,5253706,All Races,378,Male and Female,Female Breast,2003,FALSE
70-74,397.5,408.9,19328,Incidence,4794496,All Races,403.1,Male and Female,Female Breast,2003,TRUE
75-79,425.4,437.7,18841,Incidence,4365982,All Races,431.5,Male and Female,Female Breast,2003,TRUE
80-84,407.8,421.6,13880,Incidence,3347175,All Races,414.7,Male and Female,Female Breast,2003,TRUE
85+,352.3,365.6,11227,Incidence,3127975,All Races,358.9,Male and Female,Female Breast,2003,TRUE
<1,~,~,~,Incidence,1942634,All Races,NA,Male and Female,Female Breast,2003,NA
1-4,~,~,~,Incidence,7636693,All Races,NA,Male and Female,"Female Breast, <i>in situ</i>",2003,NA
10-14,~,~,~,Incidence,10444875,All Races,NA,Male and Female,"Female Breast, <i>in situ</i>",2003,NA
15-19,~,~,~,Incidence,10086567,All Races,NA,Male and Female,"Female Breast, <i>in situ</i>",2003,NA
20-24,0.1,0.3,18,Incidence,10093723,All Races,0.2,Male and Female,"Female Breast, <i>in situ</i>",2003,TRUE
25-29,0.6,1.0,76,Incidence,9307104,All Races,0.8,Male and Female,"Female Breast, <i>in situ</i>",2003,TRUE
30-34,2.3,2.9,262,Incidence,10193818,All Races,2.6,Male and Female,"Female Breast, <i>in situ</i>",2003,TRUE
35-39,9.5,10.7,1072,Incidence,10660101,All Races,10.1,Male and Female,"Female Breast, <i>in situ</i>",2003,TRUE
40-44,33.0,35.2,3938,Incidence,11546602,All Races,34.1,Male and Female,"Female Breast, <i>in situ</i>",2003,TRUE
45-49,51.6,54.3,5835,Incidence,11017265,All Races,53,Male and Female,"Female Breast, <i>in situ</i>",2003,FALSE
5-9,~,~,~,Incidence,9581247,All Races,NA,Male and Female,"Female Breast, <i>in situ</i>",2003,NA
50-54,63.8,67.0,6380,Incidence,9759654,All Races,65.4,Male and Female,"Female Breast, <i>in situ</i>",2003,TRUE
55-59,75.3,79.1,6282,Incidence,8141956,All Races,77.2,Male and Female,"Female Breast, <i>in situ</i>",2003,TRUE
60-64,81.4,85.9,5336,Incidence,6377463,All Races,83.7,Male and Female,"Female Breast, <i>in situ</i>",2003,TRUE
65-69,91.0,96.3,4920,Incidence,5253706,All Races,93.6,Male and Female,"Female Breast, <i>in situ</i>",2003,TRUE
70-74,84.9,90.2,4195,Incidence,4794496,All Races,87.5,Male and Female,"Female Breast, <i>in situ</i>",2003,TRUE
75-79,80.0,85.5,3611,Incidence,4365982,All Races,82.7,Male and Female,"Female Breast, <i>in situ</i>",2003,TRUE
80-84,61.7,67.1,2154,Incidence,3347175,All Races,64.4,Male and Female,"Female Breast, <i>in situ</i>",2003,TRUE
85+,30.7,34.7,1021,Incidence,3127975,All Races,32.6,Male and Female,"Female Breast, <i>in situ</i>",2003,TRUE
<1,~,~,~,Incidence,1942634,All Races,NA,Male and Female,"Female Breast, <i>in situ</i>",2003,NA
1-4,0.1,0.2,19,Incidence,15616575,All Races,0.1,Male and Female,Hodgkin Lymphoma,2003,TRUE
10-14,1.1,1.4,257,Incidence,21415353,All Races,1.2,Male and Female,Hodgkin Lymphoma,2003,TRUE
15-19,2.9,3.4,663,Incidence,20797166,All Races,3.2,Male and Female,Hodgkin Lymphoma,2003,TRUE
20-24,4.1,4.6,892,Incidence,20591688,All Races,4.3,Male and Female,Hodgkin Lymphoma,2003,TRUE
25-29,3.9,4.5,790,Incidence,18771585,All Races,4.2,Male and Female,Hodgkin Lymphoma,2003,TRUE
30-34,3.8,4.3,831,Incidence,20472210,All Races,4.1,Male and Female,Hodgkin Lymphoma,2003,TRUE
35-39,3.3,3.9,765,Incidence,21264159,All Races,3.6,Male and Female,Hodgkin Lymphoma,2003,TRUE
40-44,2.7,3.2,670,Incidence,22890047,All Races,2.9,Male and Female,Hodgkin Lymphoma,2003,TRUE
45-49,2.3,2.7,541,Incidence,21722676,All Races,2.5,Male and Female,Hodgkin Lymphoma,2003,TRUE
5-9,0.4,0.6,88,Incidence,19620851,All Races,0.4,Male and Female,Hodgkin Lymphoma,2003,TRUE
50-54,2.2,2.6,458,Incidence,19097278,All Races,2.4,Male and Female,Hodgkin Lymphoma,2003,TRUE
55-59,2.3,2.8,406,Incidence,15814557,All Races,2.6,Male and Female,Hodgkin Lymphoma,2003,TRUE
60-64,2.9,3.5,389,Incidence,12194388,All Races,3.2,Male and Female,Hodgkin Lymphoma,2003,TRUE
65-69,3.1,3.8,339,Incidence,9830796,All Races,3.4,Male and Female,Hodgkin Lymphoma,2003,TRUE
70-74,3.8,4.6,363,Incidence,8670119,All Races,4.2,Male and Female,Hodgkin Lymphoma,2003,TRUE
75-79,3.9,4.9,329,Incidence,7497842,All Races,4.4,Male and Female,Hodgkin Lymphoma,2003,TRUE
80-84,4.5,5.7,274,Incidence,5398596,All Races,5.1,Male and Female,Hodgkin Lymphoma,2003,TRUE
85+,3.1,4.2,162,Incidence,4466176,All Races,3.6,Male and Female,Hodgkin Lymphoma,2003,TRUE
<1,~,~,~,Incidence,3975871,All Races,NA,Male and Female,Hodgkin Lymphoma,2003,NA
1-4,~,~,~,Incidence,15616575,All Races,NA,Male and Female,Kaposi Sarcoma,2003,NA
10-14,~,~,~,Incidence,21415353,All Races,NA,Male and Female,Kaposi Sarcoma,2003,NA
15-19,~,~,~,Incidence,20797166,All Races,NA,Male and Female,Kaposi Sarcoma,2003,NA
20-24,0.1,0.2,26,Incidence,20591688,All Races,0.1,Male and Female,Kaposi Sarcoma,2003,TRUE
25-29,0.3,0.5,70,Incidence,18771585,All Races,0.4,Male and Female,Kaposi Sarcoma,2003,TRUE
30-34,0.7,0.9,160,Incidence,20472210,All Races,0.8,Male and Female,Kaposi Sarcoma,2003,TRUE
35-39,1.1,1.4,263,Incidence,21264159,All Races,1.2,Male and Female,Kaposi Sarcoma,2003,TRUE
40-44,0.9,1.2,242,Incidence,22890047,All Races,1.1,Male and Female,Kaposi Sarcoma,2003,TRUE
45-49,0.6,0.8,153,Incidence,21722676,All Races,0.7,Male and Female,Kaposi Sarcoma,2003,TRUE
5-9,~,~,~,Incidence,19620851,All Races,NA,Male and Female,Kaposi Sarcoma,2003,NA
50-54,0.3,0.5,72,Incidence,19097278,All Races,0.4,Male and Female,Kaposi Sarcoma,2003,TRUE
55-59,0.3,0.5,57,Incidence,15814557,All Races,0.4,Male and Female,Kaposi Sarcoma,2003,TRUE
60-64,0.2,0.4,40,Incidence,12194388,All Races,0.3,Male and Female,Kaposi Sarcoma,2003,TRUE
65-69,0.2,0.5,34,Incidence,9830796,All Races,0.3,Male and Female,Kaposi Sarcoma,2003,TRUE
70-74,0.5,0.9,58,Incidence,8670119,All Races,0.7,Male and Female,Kaposi Sarcoma,2003,TRUE
75-79,0.8,1.2,74,Incidence,7497842,All Races,1,Male and Female,Kaposi Sarcoma,2003,FALSE
80-84,1.2,1.9,84,Incidence,5398596,All Races,1.6,Male and Female,Kaposi Sarcoma,2003,TRUE
85+,1.7,2.6,93,Incidence,4466176,All Races,2.1,Male and Female,Kaposi Sarcoma,2003,TRUE
<1,~,~,~,Incidence,3975871,All Races,NA,Male and Female,Kaposi Sarcoma,2003,NA
1-4,1.8,2.3,316,Incidence,15616575,All Races,2,Male and Female,Kidney and Renal Pelvis,2003,FALSE
10-14,0.1,0.2,34,Incidence,21415353,All Races,0.2,Male and Female,Kidney and Renal Pelvis,2003,TRUE
15-19,0.1,0.2,31,Incidence,20797166,All Races,0.1,Male and Female,Kidney and Renal Pelvis,2003,TRUE
20-24,0.2,0.4,57,Incidence,20591688,All Races,0.3,Male and Female,Kidney and Renal Pelvis,2003,TRUE
25-29,0.7,1.0,154,Incidence,18771585,All Races,0.8,Male and Female,Kidney and Renal Pelvis,2003,TRUE
30-34,1.7,2.1,392,Incidence,20472210,All Races,1.9,Male and Female,Kidney and Renal Pelvis,2003,TRUE
35-39,3.6,4.2,829,Incidence,21264159,All Races,3.9,Male and Female,Kidney and Renal Pelvis,2003,TRUE
40-44,7.3,8.0,1742,Incidence,22890047,All Races,7.6,Male and Female,Kidney and Renal Pelvis,2003,TRUE
45-49,12.4,13.4,2804,Incidence,21722676,All Races,12.9,Male and Female,Kidney and Renal Pelvis,2003,TRUE
5-9,0.4,0.6,103,Incidence,19620851,All Races,0.5,Male and Female,Kidney and Renal Pelvis,2003,TRUE
50-54,19.9,21.2,3929,Incidence,19097278,All Races,20.6,Male and Female,Kidney and Renal Pelvis,2003,TRUE
55-59,29.3,31.0,4766,Incidence,15814557,All Races,30.1,Male and Female,Kidney and Renal Pelvis,2003,TRUE
60-64,41.6,43.9,5211,Incidence,12194388,All Races,42.7,Male and Female,Kidney and Renal Pelvis,2003,TRUE
65-69,52.9,55.8,5341,Incidence,9830796,All Races,54.3,Male and Female,Kidney and Renal Pelvis,2003,TRUE
70-74,59.1,62.4,5264,Incidence,8670119,All Races,60.7,Male and Female,Kidney and Renal Pelvis,2003,TRUE
75-79,66.3,70.0,5107,Incidence,7497842,All Races,68.1,Male and Female,Kidney and Renal Pelvis,2003,TRUE
80-84,62.7,67.1,3502,Incidence,5398596,All Races,64.9,Male and Female,Kidney and Renal Pelvis,2003,TRUE
85+,49.3,53.5,2294,Incidence,4466176,All Races,51.4,Male and Female,Kidney and Renal Pelvis,2003,TRUE
<1,1.5,2.3,74,Incidence,3975871,All Races,1.9,Male and Female,Kidney and Renal Pelvis,2003,TRUE
1-4,~,~,~,Incidence,15616575,All Races,NA,Male and Female,Larynx,2003,NA
10-14,~,~,~,Incidence,21415353,All Races,NA,Male and Female,Larynx,2003,NA
15-19,~,~,~,Incidence,20797166,All Races,NA,Male and Female,Larynx,2003,NA
20-24,~,~,~,Incidence,20591688,All Races,NA,Male and Female,Larynx,2003,NA
25-29,~,~,~,Incidence,18771585,All Races,NA,Male and Female,Larynx,2003,NA
30-34,0.2,0.3,43,Incidence,20472210,All Races,0.2,Male and Female,Larynx,2003,TRUE
35-39,0.4,0.5,95,Incidence,21264159,All Races,0.4,Male and Female,Larynx,2003,TRUE
40-44,1.4,1.7,359,Incidence,22890047,All Races,1.6,Male and Female,Larynx,2003,TRUE
45-49,3.2,3.8,759,Incidence,21722676,All Races,3.5,Male and Female,Larynx,2003,TRUE
5-9,~,~,~,Incidence,19620851,All Races,NA,Male and Female,Larynx,2003,NA
50-54,6.3,7.0,1268,Incidence,19097278,All Races,6.6,Male and Female,Larynx,2003,TRUE
55-59,10.4,11.4,1727,Incidence,15814557,All Races,10.9,Male and Female,Larynx,2003,TRUE
60-64,14.7,16.1,1872,Incidence,12194388,All Races,15.4,Male and Female,Larynx,2003,TRUE
65-69,17.8,19.5,1834,Incidence,9830796,All Races,18.7,Male and Female,Larynx,2003,TRUE
70-74,18.7,20.6,1700,Incidence,8670119,All Races,19.6,Male and Female,Larynx,2003,TRUE
75-79,17.1,19.0,1353,Incidence,7497842,All Races,18,Male and Female,Larynx,2003,FALSE
80-84,14.0,16.1,810,Incidence,5398596,All Races,15,Male and Female,Larynx,2003,FALSE
85+,9.7,11.6,473,Incidence,4466176,All Races,10.6,Male and Female,Larynx,2003,TRUE
<1,~,~,~,Incidence,3975871,All Races,NA,Male and Female,Larynx,2003,NA
1-4,7.7,8.6,1267,Incidence,15616575,All Races,8.1,Male and Female,Leukemias,2003,TRUE
10-14,2.3,2.8,548,Incidence,21415353,All Races,2.6,Male and Female,Leukemias,2003,TRUE
15-19,2.5,3.0,567,Incidence,20797166,All Races,2.7,Male and Female,Leukemias,2003,TRUE
20-24,2.1,2.6,484,Incidence,20591688,All Races,2.4,Male and Female,Leukemias,2003,TRUE
25-29,2.6,3.1,526,Incidence,18771585,All Races,2.8,Male and Female,Leukemias,2003,TRUE
30-34,2.8,3.3,615,Incidence,20472210,All Races,3,Male and Female,Leukemias,2003,FALSE
35-39,3.7,4.2,841,Incidence,21264159,All Races,4,Male and Female,Leukemias,2003,FALSE
40-44,5.1,5.7,1242,Incidence,22890047,All Races,5.4,Male and Female,Leukemias,2003,TRUE
45-49,7.2,7.9,1642,Incidence,21722676,All Races,7.6,Male and Female,Leukemias,2003,TRUE
5-9,3.6,4.2,759,Incidence,19620851,All Races,3.9,Male and Female,Leukemias,2003,TRUE
50-54,11.0,11.9,2188,Incidence,19097278,All Races,11.5,Male and Female,Leukemias,2003,TRUE
55-59,17.3,18.6,2838,Incidence,15814557,All Races,17.9,Male and Female,Leukemias,2003,TRUE
60-64,25.8,27.7,3260,Incidence,12194388,All Races,26.7,Male and Female,Leukemias,2003,TRUE
65-69,38.1,40.6,3867,Incidence,9830796,All Races,39.3,Male and Female,Leukemias,2003,TRUE
70-74,51.9,55.0,4629,Incidence,8670119,All Races,53.4,Male and Female,Leukemias,2003,TRUE
75-79,66.5,70.3,5128,Incidence,7497842,All Races,68.4,Male and Female,Leukemias,2003,TRUE
80-84,79.5,84.4,4422,Incidence,5398596,All Races,81.9,Male and Female,Leukemias,2003,TRUE
85+,87.8,93.5,4047,Incidence,4466176,All Races,90.6,Male and Female,Leukemias,2003,TRUE
<1,3.8,5.2,177,Incidence,3975871,All Races,4.5,Male and Female,Leukemias,2003,TRUE
1-4,0.4,0.6,73,Incidence,15616575,All Races,0.5,Male and Female,Liver and Intrahepatic Bile Duct,2003,TRUE
10-14,0.1,0.2,29,Incidence,21415353,All Races,0.1,Male and Female,Liver and Intrahepatic Bile Duct,2003,TRUE
15-19,0.1,0.2,24,Incidence,20797166,All Races,0.1,Male and Female,Liver and Intrahepatic Bile Duct,2003,TRUE
20-24,0.1,0.2,35,Incidence,20591688,All Races,0.2,Male and Female,Liver and Intrahepatic Bile Duct,2003,TRUE
25-29,0.2,0.3,46,Incidence,18771585,All Races,0.2,Male and Female,Liver and Intrahepatic Bile Duct,2003,TRUE
30-34,0.4,0.6,96,Incidence,20472210,All Races,0.5,Male and Female,Liver and Intrahepatic Bile Duct,2003,TRUE
35-39,0.7,1.0,179,Incidence,21264159,All Races,0.8,Male and Female,Liver and Intrahepatic Bile Duct,2003,TRUE
40-44,1.7,2.1,430,Incidence,22890047,All Races,1.9,Male and Female,Liver and Intrahepatic Bile Duct,2003,TRUE
45-49,5.7,6.3,1297,Incidence,21722676,All Races,6,Male and Female,Liver and Intrahepatic Bile Duct,2003,FALSE
5-9,0.1,0.1,17,Incidence,19620851,All Races,0.1,Male and Female,Liver and Intrahepatic Bile Duct,2003,TRUE
50-54,10.4,11.3,2076,Incidence,19097278,All Races,10.9,Male and Female,Liver and Intrahepatic Bile Duct,2003,TRUE
55-59,10.6,11.6,1754,Incidence,15814557,All Races,11.1,Male and Female,Liver and Intrahepatic Bile Duct,2003,TRUE
60-64,13.1,14.4,1673,Incidence,12194388,All Races,13.7,Male and Female,Liver and Intrahepatic Bile Duct,2003,TRUE
65-69,18.9,20.6,1939,Incidence,9830796,All Races,19.7,Male and Female,Liver and Intrahepatic Bile Duct,2003,TRUE
70-74,23.0,25.1,2087,Incidence,8670119,All Races,24.1,Male and Female,Liver and Intrahepatic Bile Duct,2003,TRUE
75-79,26.2,28.6,2055,Incidence,7497842,All Races,27.4,Male and Female,Liver and Intrahepatic Bile Duct,2003,TRUE
80-84,23.9,26.6,1360,Incidence,5398596,All Races,25.2,Male and Female,Liver and Intrahepatic Bile Duct,2003,TRUE
85+,22.5,25.4,1068,Incidence,4466176,All Races,23.9,Male and Female,Liver and Intrahepatic Bile Duct,2003,TRUE
<1,1.0,1.8,55,Incidence,3975871,All Races,1.4,Male and Female,Liver and Intrahepatic Bile Duct,2003,TRUE
1-4,~,~,~,Incidence,15616575,All Races,NA,Male and Female,Lung and Bronchus,2003,NA
10-14,~,~,~,Incidence,21415353,All Races,NA,Male and Female,Lung and Bronchus,2003,NA
15-19,0.1,0.2,27,Incidence,20797166,All Races,0.1,Male and Female,Lung and Bronchus,2003,TRUE
20-24,0.2,0.4,58,Incidence,20591688,All Races,0.3,Male and Female,Lung and Bronchus,2003,TRUE
25-29,0.4,0.7,101,Incidence,18771585,All Races,0.5,Male and Female,Lung and Bronchus,2003,TRUE
30-34,1.2,1.5,276,Incidence,20472210,All Races,1.3,Male and Female,Lung and Bronchus,2003,TRUE
35-39,4.1,4.7,934,Incidence,21264159,All Races,4.4,Male and Female,Lung and Bronchus,2003,TRUE
40-44,14.2,15.2,3361,Incidence,22890047,All Races,14.7,Male and Female,Lung and Bronchus,2003,TRUE
45-49,31.5,33.0,7003,Incidence,21722676,All Races,32.2,Male and Female,Lung and Bronchus,2003,TRUE
5-9,~,~,~,Incidence,19620851,All Races,NA,Male and Female,Lung and Bronchus,2003,NA
50-54,60.0,62.2,11672,Incidence,19097278,All Races,61.1,Male and Female,Lung and Bronchus,2003,TRUE
55-59,117.2,120.6,18798,Incidence,15814557,All Races,118.9,Male and Female,Lung and Bronchus,2003,TRUE
60-64,207.7,212.9,25641,Incidence,12194388,All Races,210.3,Male and Female,Lung and Bronchus,2003,TRUE
65-69,315.3,322.4,31347,Incidence,9830796,All Races,318.9,Male and Female,Lung and Bronchus,2003,TRUE
70-74,405.7,414.3,35545,Incidence,8670119,All Races,410,Male and Female,Lung and Bronchus,2003,FALSE
75-79,452.8,462.5,34309,Incidence,7497842,All Races,457.6,Male and Female,Lung and Bronchus,2003,TRUE
80-84,413.6,424.5,22621,Incidence,5398596,All Races,419,Male and Female,Lung and Bronchus,2003,FALSE
85+,296.4,306.6,13462,Incidence,4466176,All Races,301.4,Male and Female,Lung and Bronchus,2003,TRUE
<1,~,~,~,Incidence,3975871,All Races,NA,Male and Female,Lung and Bronchus,2003,NA
1-4,~,~,~,Incidence,7636693,All Races,NA,Male and Female,Male and Female Breast,2003,NA
10-14,~,~,~,Incidence,10444875,All Races,NA,Male and Female,Male and Female Breast,2003,NA
15-19,0.1,0.3,18,Incidence,10086567,All Races,0.2,Male and Female,Male and Female Breast,2003,TRUE
20-24,1.2,1.6,139,Incidence,10093723,All Races,1.4,Male and Female,Male and Female Breast,2003,TRUE
25-29,8.2,9.4,821,Incidence,9307104,All Races,8.8,Male and Female,Male and Female Breast,2003,TRUE
30-34,26.3,28.3,2784,Incidence,10193818,All Races,27.3,Male and Female,Male and Female Breast,2003,TRUE
35-39,60.5,63.5,6607,Incidence,10660101,All Races,62,Male and Female,Male and Female Breast,2003,FALSE
40-44,116.9,120.9,13727,Incidence,11546602,All Races,118.9,Male and Female,Male and Female Breast,2003,TRUE
45-49,181.8,186.9,20311,Incidence,11017265,All Races,184.4,Male and Female,Male and Female Breast,2003,TRUE
5-9,~,~,~,Incidence,9581247,All Races,NA,Male and Female,Male and Female Breast,2003,NA
50-54,225.2,231.2,22269,Incidence,9759654,All Races,228.2,Male and Female,Male and Female Breast,2003,TRUE
55-59,287.2,294.6,23686,Incidence,8141956,All Races,290.9,Male and Female,Male and Female Breast,2003,TRUE
60-64,336.8,345.9,21770,Incidence,6377463,All Races,341.4,Male and Female,Male and Female Breast,2003,TRUE
65-69,372.8,383.3,19861,Incidence,5253706,All Races,378,Male and Female,Male and Female Breast,2003,FALSE
70-74,397.5,408.9,19328,Incidence,4794496,All Races,403.1,Male and Female,Male and Female Breast,2003,TRUE
75-79,425.4,437.7,18841,Incidence,4365982,All Races,431.5,Male and Female,Male and Female Breast,2003,TRUE
80-84,407.8,421.6,13880,Incidence,3347175,All Races,414.7,Male and Female,Male and Female Breast,2003,TRUE
85+,352.3,365.6,11227,Incidence,3127975,All Races,358.9,Male and Female,Male and Female Breast,2003,TRUE
<1,~,~,~,Incidence,1942634,All Races,NA,Male and Female,Male and Female Breast,2003,NA
1-4,~,~,~,Incidence,7636693,All Races,NA,Male and Female,"Male and Female Breast, <i>in situ</i>",2003,NA
10-14,~,~,~,Incidence,10444875,All Races,NA,Male and Female,"Male and Female Breast, <i>in situ</i>",2003,NA
15-19,~,~,~,Incidence,10086567,All Races,NA,Male and Female,"Male and Female Breast, <i>in situ</i>",2003,NA
20-24,0.1,0.3,18,Incidence,10093723,All Races,0.2,Male and Female,"Male and Female Breast, <i>in situ</i>",2003,TRUE
25-29,0.6,1.0,76,Incidence,9307104,All Races,0.8,Male and Female,"Male and Female Breast, <i>in situ</i>",2003,TRUE
30-34,2.3,2.9,262,Incidence,10193818,All Races,2.6,Male and Female,"Male and Female Breast, <i>in situ</i>",2003,TRUE
35-39,9.5,10.7,1072,Incidence,10660101,All Races,10.1,Male and Female,"Male and Female Breast, <i>in situ</i>",2003,TRUE
40-44,33.0,35.2,3938,Incidence,11546602,All Races,34.1,Male and Female,"Male and Female Breast, <i>in situ</i>",2003,TRUE
45-49,51.6,54.3,5835,Incidence,11017265,All Races,53,Male and Female,"Male and Female Breast, <i>in situ</i>",2003,FALSE
5-9,~,~,~,Incidence,9581247,All Races,NA,Male and Female,"Male and Female Breast, <i>in situ</i>",2003,NA
50-54,63.8,67.0,6380,Incidence,9759654,All Races,65.4,Male and Female,"Male and Female Breast, <i>in situ</i>",2003,TRUE
55-59,75.3,79.1,6282,Incidence,8141956,All Races,77.2,Male and Female,"Male and Female Breast, <i>in situ</i>",2003,TRUE
60-64,81.4,85.9,5336,Incidence,6377463,All Races,83.7,Male and Female,"Male and Female Breast, <i>in situ</i>",2003,TRUE
65-69,91.0,96.3,4920,Incidence,5253706,All Races,93.6,Male and Female,"Male and Female Breast, <i>in situ</i>",2003,TRUE
70-74,84.9,90.2,4195,Incidence,4794496,All Races,87.5,Male and Female,"Male and Female Breast, <i>in situ</i>",2003,TRUE
75-79,80.0,85.5,3611,Incidence,4365982,All Races,82.7,Male and Female,"Male and Female Breast, <i>in situ</i>",2003,TRUE
80-84,61.7,67.1,2154,Incidence,3347175,All Races,64.4,Male and Female,"Male and Female Breast, <i>in situ</i>",2003,TRUE
85+,30.7,34.7,1021,Incidence,3127975,All Races,32.6,Male and Female,"Male and Female Breast, <i>in situ</i>",2003,TRUE
<1,~,~,~,Incidence,1942634,All Races,NA,Male and Female,"Male and Female Breast, <i>in situ</i>",2003,NA
1-4,~,~,~,Incidence,15616575,All Races,NA,Male and Female,Melanomas of the Skin,2003,NA
10-14,0.3,0.5,79,Incidence,21415353,All Races,0.4,Male and Female,Melanomas of the Skin,2003,TRUE
15-19,1.6,1.9,365,Incidence,20797166,All Races,1.8,Male and Female,Melanomas of the Skin,2003,TRUE
20-24,3.9,4.4,850,Incidence,20591688,All Races,4.1,Male and Female,Melanomas of the Skin,2003,TRUE
25-29,6.6,7.4,1307,Incidence,18771585,All Races,7,Male and Female,Melanomas of the Skin,2003,FALSE
30-34,9.1,9.9,1941,Incidence,20472210,All Races,9.5,Male and Female,Melanomas of the Skin,2003,TRUE
35-39,11.3,12.3,2509,Incidence,21264159,All Races,11.8,Male and Female,Melanomas of the Skin,2003,TRUE
40-44,15.7,16.7,3712,Incidence,22890047,All Races,16.2,Male and Female,Melanomas of the Skin,2003,TRUE
45-49,19.6,20.8,4392,Incidence,21722676,All Races,20.2,Male and Female,Melanomas of the Skin,2003,TRUE
5-9,~,~,~,Incidence,19620851,All Races,NA,Male and Female,Melanomas of the Skin,2003,NA
50-54,24.1,25.5,4740,Incidence,19097278,All Races,24.8,Male and Female,Melanomas of the Skin,2003,TRUE
55-59,30.2,32.0,4919,Incidence,15814557,All Races,31.1,Male and Female,Melanomas of the Skin,2003,TRUE
60-64,36.9,39.1,4634,Incidence,12194388,All Races,38,Male and Female,Melanomas of the Skin,2003,FALSE
65-69,45.8,48.5,4632,Incidence,9830796,All Races,47.1,Male and Female,Melanomas of the Skin,2003,TRUE
70-74,55.6,58.8,4961,Incidence,8670119,All Races,57.2,Male and Female,Melanomas of the Skin,2003,TRUE
75-79,63.2,66.9,4878,Incidence,7497842,All Races,65.1,Male and Female,Melanomas of the Skin,2003,TRUE
80-84,64.4,68.8,3593,Incidence,5398596,All Races,66.6,Male and Female,Melanomas of the Skin,2003,TRUE
85+,59.6,64.2,2764,Incidence,4466176,All Races,61.9,Male and Female,Melanomas of the Skin,2003,TRUE
<1,~,~,~,Incidence,3975871,All Races,NA,Male and Female,Melanomas of the Skin,2003,NA
1-4,~,~,~,Incidence,15616575,All Races,NA,Male and Female,Mesothelioma,2003,NA
10-14,~,~,~,Incidence,21415353,All Races,NA,Male and Female,Mesothelioma,2003,NA
15-19,~,~,~,Incidence,20797166,All Races,NA,Male and Female,Mesothelioma,2003,NA
20-24,~,~,~,Incidence,20591688,All Races,NA,Male and Female,Mesothelioma,2003,NA
25-29,~,~,~,Incidence,18771585,All Races,NA,Male and Female,Mesothelioma,2003,NA
30-34,~,~,~,Incidence,20472210,All Races,NA,Male and Female,Mesothelioma,2003,NA
35-39,0.1,0.2,23,Incidence,21264159,All Races,0.1,Male and Female,Mesothelioma,2003,TRUE
40-44,0.1,0.3,45,Incidence,22890047,All Races,0.2,Male and Female,Mesothelioma,2003,TRUE
45-49,0.3,0.4,73,Incidence,21722676,All Races,0.3,Male and Female,Mesothelioma,2003,TRUE
5-9,~,~,~,Incidence,19620851,All Races,NA,Male and Female,Mesothelioma,2003,NA
50-54,0.5,0.7,119,Incidence,19097278,All Races,0.6,Male and Female,Mesothelioma,2003,TRUE
55-59,1.2,1.6,219,Incidence,15814557,All Races,1.4,Male and Female,Mesothelioma,2003,TRUE
60-64,2.3,2.9,315,Incidence,12194388,All Races,2.6,Male and Female,Mesothelioma,2003,TRUE
